Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
EQUITY RESIDENTIAL (XFRA:EQR),EQR,EQUITY RESIDENTIAL,"Equity Residential, Two North Riverside Plaza, Suite 400, CHICAGO, IL, 60606 US",2400,Residential & Commercial REIT,1992,Deutsche Boerse AG,EUR,58.50,59.00,-0.50,-0.85%,59.00,59.00,58.50,87.00,39.00,379032400,40.00,1168520,0.84,24182270000,29.07,Stock,9/6/23 20:05,1993-08-12,NA,53869000,NA,NA,0.08
EXELON CORPORATION (XNAS:EXC),EXC,EXELON CORPORATION,"PO BOX 805398, CHICAGO, IL, 60680-5398 US",19063,Electrical Utilities & IPPs,1999,Nasdaq Stock Market,USD,39.86,39.51,0.35,0.89%,39.56,39.90,39.47,46.19,35.19,995219200,5607437.00,4539988,0.55,39669437312,18.52,Stock,9/6/23 23:42,1943-07-06,NA,407000000,2217000000,10611000000,-0.09
"EXPEDIA GROUP, INC. (XNAS:EXPE)",EXPE,"EXPEDIA GROUP, INC.","1111 Expedia Group Way W, SEATTLE, WA, 98119-1111 US",16500,Hotels & Entertainment Services,2005,Nasdaq Stock Market,USD,108.41,110.22,-1.81,-1.64%,109.19,109.71,105.93,124.95,82.39,143364600,2369123.00,2855527,1.64,15542156286,19.43,Stock,9/6/23 23:47,2005-07-20,NA,4096000000,2078000000,NA,0.26
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNAS:EXPD)",EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC","1015 Third Avenue, SEATTLE, WA, 98104 US",19900,Freight & Logistics Services,1979,Nasdaq Stock Market,USD,115.59,115.56,0.03,0.03%,115.62,116.35,115.06,128.05,86.08,147897200,1023836.00,915393,1.01,17095437348,17.32,Stock,9/6/23 20:08,2005-06-06,1357399000,NA,2107645000,NA,0.11
EXXON MOBIL CORPORATION (XNYS:XOM),XOM,EXXON MOBIL CORPORATION,"22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX, 77389-1425 US",62000,Oil & Gas,1882,New York Stock Exchange,USD,114.51,113.53,0.98,0.86%,113.48,114.59,113.23,119.92,83.89,4003193000,13325542.00,13964014,1.07,458405630430,9.09,Stock,9/6/23 23:59,1980-03-17,NA,29640000000,NA,NA,0.03
"F5, INC. (XNAS:FFIV)",FFIV,"F5, INC.","801 5Th Avenue, SEATTLE, WA, 98104 US",7089,Software & IT Services,1996,Nasdaq Stock Market,USD,163.82,164.59,-0.77,-0.47%,164.42,165.26,163.13,167.89,127.05,59306420,369423.00,378912,1.06,9715577724,29.95,Stock,9/6/23 23:44,1999-06-04,NA,758012000,789686000,1839951000,0.15
Fastenal Company (XNAS:FAST),FAST,Fastenal Company,"2001 Theurer Blvd, WINONA, MN, 55987 US",20631,"Machinery, Equipment & Components",1968,Nasdaq Stock Market,USD,55.86,56.08,-0.22,-0.39%,55.81,56.35,55.34,59.43,43.73,571333000,3254337.00,2341447,1.15,31914661380,28.62,Stock,9/6/23 21:08,1987-08-01,NA,230100000,1013200000,NA,0.19
FEDEX CORPORATION (XNYS:FDX),FDX,FEDEX CORPORATION,"942 South Shady Grove Road, MEMPHIS, TN, 38120-4117 US",328000,Freight & Logistics Services,1997,New York Stock Exchange,USD,257.47,256.62,0.85,0.33%,257.45,258.77,255.48,270.95,141.92,251510400,1099898.00,1548493,1.36,64756382688,16.53,Stock,9/6/23 23:58,1978-12-28,NA,NA,10188000000,NA,0.48
"FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS)",FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.","347 Riverside Avenue, JACKSONVILLE, FL, 32202 US",69000,Financial Technology (Fintech) & Infrastructure,2001,New York Stock Exchange,USD,55.32,55.64,-0.32,-0.58%,55.19,55.88,55.17,93.90,48.57,592465500,2434734.00,3386079,0.84,32775191460,49.23,Stock,9/6/23 23:54,2001-06-20,NA,NA,NA,NA,-0.18
FIFTH THIRD BANCORP (XNAS:FITB),FITB,FIFTH THIRD BANCORP,"38 Fountain Square Plaza, CINCINNATI, OH, 45263 US",19225,Banking Services,1974,Nasdaq Stock Market,USD,26.60,27.07,-0.47,-1.74%,26.90,27.06,26.33,38.06,22.11,680888700,6317438.00,4515878,1.22,18111639420,7.71,Stock,9/6/23 22:20,1980-03-17,NA,NA,NA,NA,-0.17
