Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
MCDONALD'S CORPORATION (XNYS:MCD),MCD,MCDONALD'S CORPORATION,"110 N Carpenter St, CHICAGO, IL, 60607-2104 US",150000,Hotels & Entertainment Services,1964,New York Stock Exchange,USD,275.44,279.16,-3.72,-1.33%,278.00,278.65,275.00,299.35,230.58,728763400,2705819.00,2261425,0.64,200730590896,25.70,Stock,9/6/23 23:59,1965-04-21,NA,NA,NA,NA,0.06
MCKESSON CORPORATION (XNYS:MCK),MCK,MCKESSON CORPORATION,"6555 State Highway 161, IRVING, TX, 75039 US",45000,Pharmaceuticals,1994,New York Stock Exchange,USD,411.25,407.13,4.12,1.01%,407.00,412.77,405.50,441.00,331.75,134902400,818838.00,858946,0.60,55478612000,15.17,Stock,9/6/23 23:02,1994-11-10,NA,NA,NA,NA,0.09
MEDTRONIC PUBLIC LIMITED COMPANY (XNYS:MDT),MDT,MEDTRONIC PUBLIC LIMITED COMPANY,"20 On Hatch, Hatch Street Lower, DUBLIN, DUBLIN IE",95000,Healthcare Equipment & Supplies,2014,New York Stock Exchange,USD,80.71,80.20,0.51,0.64%,79.64,81.10,78.92,92.39,75.77,1330534000,6795477.00,4859309,0.72,107387399139,29.52,Stock,9/6/23 23:53,1977-11-21,NA,NA,NA,NA,0.03
"MERCK & CO., INC. (XNYS:MRK)",MRK,"MERCK & CO., INC.","2000 Galloping Hill Road, KENILWORTH, NJ, 07033 US",69000,Pharmaceuticals,1970,New York Stock Exchange,USD,106.49,107.51,-1.02,-0.95%,106.76,107.00,104.92,119.65,84.52,2537521000,7926130.00,6891159,0.34,270220611290,88.22,Stock,9/6/23 23:47,1941-01-01,NA,NA,NA,NA,-0.03
"METLIFE, INC. (XNYS:MET)",MET,"METLIFE, INC.","200 Park Avenue, NEW YORK, NY, 10166 US",45000,Insurance,1999,New York Stock Exchange,USD,63.20,63.77,-0.57,-0.89%,63.36,63.87,62.92,77.36,48.95,752022500,3028175.00,3401284,1.09,47527822000,29.21,Stock,9/6/23 23:00,2000-04-05,NA,NA,NA,NA,-0.12
MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP),MCHP,MICROCHIP TECHNOLOGY INCORPORATED,"2355 W CHANDLER BLVD, CHANDLER, AZ, 85224-6199 US",22600,Semiconductors & Semiconductor Equipment,1989,Nasdaq Stock Market,USD,81.06,81.56,-0.50,-0.61%,81.72,82.59,80.19,94.30,54.77,544334300,3996367.00,4714691,1.62,44123738358,18.87,Stock,9/6/23 23:57,1993-03-19,NA,NA,NA,NA,0.16
"MICRON TECHNOLOGY, INC. (XNAS:MU)",MU,"MICRON TECHNOLOGY, INC.","PO BOX 6, 8000 S FEDERAL WAY, BOISE, ID, 83716-9632 US",48000,Semiconductors & Semiconductor Equipment,1984,Nasdaq Stock Market,USD,70.41,70.29,0.12,0.17%,70.13,70.66,69.64,74.77,48.43,1095302000,9192768.00,12188548,1.35,76988750000,46.89,Stock,9/6/23 23:58,1984-06-01,NA,NA,NA,NA,0.41
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,MICROSOFT CORPORATION,"One Microsoft Way, REDMOND, WA, 98052-6399 US",221000,Software & IT Services,1993,Nasdaq Stock Market,USD,332.88,333.55,-0.67,-0.20%,333.38,334.46,330.18,366.78,213.43,7429764000,17535773.00,20526612,0.90,2473219840320,34.44,Stock,9/6/23 23:59,1986-03-13,NA,NA,NA,NA,0.39
MOLSON COORS BEVERAGE COMPANY (XNYS:TAP),TAP,MOLSON COORS BEVERAGE COMPANY,"P.O. Box 4030, Bc555, GOLDEN, CO, 80401 US",16600,Beverages,2003,New York Stock Exchange,USD,62.03,62.28,-0.25,-0.40%,62.31,62.36,61.85,70.90,46.69,203522900,2159572.00,1722648,0.90,12700320000,375.50,Stock,9/6/23 23:00,1980-03-17,NA,NA,NA,NA,0.21
MONNARI TRADE S.A. (XWAR:MON),MON,MONNARI TRADE S.A.,"ul. Radwanska 6, LODZ, WOJ. LODZKIE, 90-453 PL",999,Specialty Retailers,2003,Warsaw Stock Exchange,PLN,6.06,6.14,-0.08,-1.30%,6.14,6.14,5.86,6.26,3.12,30563090,31395.00,25830,1.44,187657400,3.10,Stock,9/6/23 14:58,2021-01-14,NA,NA,NA,NA,0.08
MONSTER BEVERAGE CORPORATION (XNAS:MNST),MNST,MONSTER BEVERAGE CORPORATION,"1 Monster Way, CORONA, CA, 92879-7101 US",5296,Beverages,2014,Nasdaq Stock Market,USD,56.28,55.96,0.32,0.57%,56.00,56.29,55.81,60.47,42.81,1047518000,4046114.00,4233669,0.83,58619130000,46.23,Stock,9/6/23 23:56,1985-12-09,NA,NA,NA,NA,0.10
MOODY'S CORPORATION (XNYS:MCO),MCO,MOODY'S CORPORATION,"7 World Trade Ctr, NEW YORK, NY, 10007-2140 US",14635,Professional & Commercial Services,2000,New York Stock Exchange,USD,340.68,338.30,2.38,0.70%,337.95,341.77,337.31,363.19,230.16,183500000,536515.00,550144,1.30,62514780000,42.22,Stock,9/6/23 23:57,1998-06-19,NA,NA,NA,NA,0.21
MORGAN STANLEY (XNYS:MS),MS,MORGAN STANLEY,"1585 Broadway, NEW YORK, NY, 10036 US",82000,Investment Banking & Investment Services,1981,New York Stock Exchange,USD,84.16,84.84,-0.68,-0.80%,84.28,84.75,83.35,100.99,74.67,1656967000,5383994.00,5642478,1.33,140577000000,14.91,Stock,9/6/23 23:53,1986-03-21,NA,NA,NA,NA,0.00
"MOTOROLA SOLUTIONS, INC. (XNYS:MSI)",MSI,"MOTOROLA SOLUTIONS, INC.","500 W. Monroe St., CHICAGO, IL, 60661 US",20000,Communications & Networking,1973,New York Stock Exchange,USD,280.92,281.07,-0.15,-0.05%,280.55,282.40,278.70,299.43,212.76,167019600,531919.00,711403,0.92,46919146032,31.89,Stock,9/6/23 23:00,1980-03-17,NA,NA,NA,NA,0.09
MURPHY OIL CORPORATION (XNYS:MUR),MUR,MURPHY OIL CORPORATION,"9805 Katy Fwy, Suite G-200, HOUSTON, TX, 77024 US",691,Oil & Gas,1964,New York Stock Exchange,USD,46.25,46.46,-0.21,-0.45%,46.29,46.91,45.94,51.29,31.90,156155300,1600805.00,1412883,2.39,7222182625,7.18,Stock,9/6/23 23:56,1961-12-04,NA,NA,NA,NA,0.08
NABORS INDUSTRIES LTD. (XNYS:NBR),NBR,NABORS INDUSTRIES LTD.,"Crown House, 4 Par-La-Ville Road, HAMILTON, HM 08 BM",12000,Oil & Gas Related Equipment and Services,2001,New York Stock Exchange,USD,121.79,122.09,-0.30,-0.25%,121.58,123.00,118.50,190.90,83.05,9544920,205209.00,160690,2.82,1162475806,0.00,Stock,9/6/23 23:00,2005-11-03,NA,NA,NA,NA,-0.21
"Nasdaq, Inc. (XNAS:NDAQ)",NDAQ,"Nasdaq, Inc.","151 W. 42ND STREET, NEW YORK, NY, 10036 US",6565,Investment Banking & Investment Services,1979,Nasdaq Stock Market,USD,51.58,50.71,0.87,1.72%,50.86,52.03,50.68,69.22,48.65,491316200,2493961.00,2525115,0.91,25342089596,22.75,Stock,9/6/23 23:52,2002-07-08,NA,NA,NA,NA,-0.17
"NETAPP, INC. (XNAS:NTAP)",NTAP,"NETAPP, INC.","3060 Olsen Drive, SAN JOSE, CA, 95128 US",12000,"Computers, Phones & Household Electronics",2001,Nasdaq Stock Market,USD,79.92,79.49,0.43,0.54%,79.26,79.96,78.87,80.53,58.08,208791200,1718431.00,2095186,1.20,16686592704,14.39,Stock,9/6/23 23:35,1995-11-21,NA,NA,NA,NA,0.32
"NETFLIX, INC. (XNAS:NFLX)",NFLX,"NETFLIX, INC.","121 Albright Way, LOS GATOS, CA, 95032 US",12800,Software & IT Services,1997,Nasdaq Stock Market,USD,445.76,448.68,-2.92,-0.65%,448.61,451.39,440.49,485.00,211.73,443146800,3862274.00,4731798,1.28,197537117568,52.24,Stock,9/6/23 23:59,2002-05-23,NA,NA,NA,NA,0.52
NEWELL BRANDS INC. (XNAS:NWL),NWL,NEWELL BRANDS INC.,"6655 Peachtree Dunwoody Rd, ATLANTA, GA, 30328 US",28000,Household Goods,1987,Nasdaq Stock Market,USD,9.95,10.19,-0.24,-2.36%,10.13,10.13,9.84,18.54,7.80,414200000,5758071.00,4330995,1.00,4121289999,23.62,Stock,9/6/23 23:58,1979-06-28,NA,NA,NA,NA,-0.22
NEWMONT CORPORATION (XNYS:NEM),NEM,NEWMONT CORPORATION,"6900 E Layton Avenue, Suite 700, DENVER, CO, 80237 US",14600,Metals & Mining,2001,New York Stock Exchange,USD,38.50,38.44,0.06,0.16%,38.34,38.79,38.08,55.41,37.45,794732400,6706143.00,6682381,0.40,30867410000,36.33,Stock,9/6/23 23:23,1940-01-27,NA,NA,NA,NA,-0.18
NEWS CORPORATION (XNAS:NWSA),NWSA,NEWS CORPORATION,"1211 Avenue of the Americas, NEW YORK, NY, 10036 US",25000,Media & Publishing,2012,Nasdaq Stock Market,USD,21.21,21.19,0.02,0.09%,21.17,21.32,21.01,21.69,14.87,571422200,2028965.00,2580178,1.33,12206270000,82.23,Stock,9/6/23 20:22,2013-06-19,NA,NA,NA,NA,0.16
"NEXTERA ENERGY, INC. (XNYS:NEE)",NEE,"NEXTERA ENERGY, INC.","700 Universe Blvd, JUNO BEACH, FL, 33408 US",15300,Electrical Utilities & IPPs,1984,New York Stock Exchange,USD,65.69,66.20,-0.51,-0.77%,66.03,66.41,65.36,91.06,65.36,2023714000,9250260.00,8124414,0.47,132937772660,16.39,Stock,9/6/23 23:59,1950-02-15,NA,NA,NA,NA,-0.21
"NIKE, INC. (XNYS:NKE)",NKE,"NIKE, INC.","One Bowerman Dr, BEAVERTON, OR, 97005-6453 US",83700,Textiles & Apparel,1969,New York Stock Exchange,USD,100.18,100.32,-0.14,-0.14%,99.76,100.31,99.03,131.31,82.22,1529972000,6096014.00,6900943,1.12,153272594960,31.04,Stock,9/6/23 23:59,1980-12-02,NA,NA,NA,NA,-0.14
NISOURCE INC. (XNYS:NI),NI,NISOURCE INC.,"801 E 86th Ave, MERRILLVILLE, IN, 46410-6272 US",7117,Multiline Utilities,2000,New York Stock Exchange,USD,26.31,26.19,0.12,0.46%,26.18,26.35,25.99,30.83,23.78,413254800,3505360.00,3156133,0.47,10872733788,18.22,Stock,9/6/23 23:00,1962-12-19,NA,NA,NA,NA,-0.04
NOBLE CORPORATION PLC (XNYS:NE),NE,NOBLE CORPORATION PLC,"13135 Dairy Ashford, Suite 800, SUGAR LAND, TX, 77478 US",3800,Oil & Gas Related Equipment and Services,2020,New York Stock Exchange,USD,52.44,53.32,-0.88,-1.65%,53.21,53.94,51.70,55.34,27.04,137083800,1081943.00,1148480,0.99,7188674472,21.16,Stock,9/6/23 23:16,2022-10-03,NA,NA,NA,NA,0.41
"NORDSTROM, INC. (XNYS:JWN)",JWN,"NORDSTROM, INC.","1617 6th Ave, SEATTLE, WA, 98101-1707 US",60000,Diversified Retail,1946,New York Stock Exchange,USD,14.90,15.29,-0.39,-2.55%,15.14,15.30,14.84,27.15,14.03,161678400,7139835.00,5627138,2.34,2409008160,85.07,Stock,9/6/23 23:51,1999-06-10,NA,NA,NA,NA,-0.05
NORFOLK SOUTHERN CORPORATION (XNYS:NSC),NSC,NORFOLK SOUTHERN CORPORATION,"650 W Peachtree Street Nw, ATLANTA, GA, 30308 US",19300,Freight & Logistics Services,2009,New York Stock Exchange,USD,198.42,201.09,-2.67,-1.33%,201.17,201.80,197.72,261.71,196.33,227015300,1356841.00,1137990,1.29,45044375826,18.10,Stock,9/6/23 23:13,1982-06-02,NA,NA,NA,NA,-0.18
NORTHERN TRUST CORPORATION (XNAS:NTRS),NTRS,NORTHERN TRUST CORPORATION,"50 S Lasalle St, CHICAGO, IL, 60603 US",23600,Investment Banking & Investment Services,1971,Nasdaq Stock Market,USD,76.33,76.43,-0.10,-0.13%,76.05,77.04,75.64,100.74,69.54,207004200,850898.00,897150,1.09,15800630586,13.71,Stock,9/6/23 20:38,1980-03-17,NA,NA,NA,NA,-0.14
NORTHROP GRUMMAN CORPORATION (XNYS:NOC),NOC,NORTHROP GRUMMAN CORPORATION,"2980 Fairview Park Drive, FALLS CHURCH, VA, 22042 US",95000,Aerospace & Defense,2010,New York Stock Exchange,USD,423.64,431.08,-7.44,-1.73%,431.59,432.03,423.44,556.27,421.73,151299700,602486.00,650997,0.52,64096604908,14.29,Stock,9/6/23 23:18,1951-12-10,NA,NA,NA,NA,-0.21
NOV INC. (XNYS:NOV),NOV,NOV INC.,"10353 RICHMOND AVE., HOUSTON, TX, 77042 US",32307,Oil & Gas Related Equipment and Services,1995,New York Stock Exchange,USD,21.57,21.47,0.10,0.47%,21.45,21.89,21.41,24.83,14.05,393776800,3069721.00,3183833,1.92,8493765576,20.37,Stock,9/6/23 23:31,1996-10-29,NA,NA,NA,NA,0.03
"NRG ENERGY, INC. (XNYS:NRG)",NRG,"NRG ENERGY, INC.","910 Louisiana Street, HOUSTON, TX, 77002 US",6603,Electrical Utilities & IPPs,1992,New York Stock Exchange,USD,38.02,37.97,0.05,0.13%,37.84,38.29,37.66,45.80,30.25,229117400,1625526.00,2831047,1.01,8711043548,6.44,Stock,9/6/23 23:00,2004-02-05,NA,NA,NA,NA,0.19
Nu Holdings Ltd (XNYS:NU),NU,Nu Holdings Ltd,"Rua Capote Valente, 39, Pinheiros, SAO PAULO, SAO PAULO, 05409-000 BR",8049,Banking Services,2016,New York Stock Exchange,USD,6.90,6.81,0.09,1.32%,6.85,6.98,6.82,8.29,3.39,4742616000,26876873.00,26730951,0.91,32724050400,485.04,Stock,9/6/23 23:59,2021-12-09,-364578000,1177000,NA,23700498000,0.67
NUCOR CORPORATION (XNYS:NUE),NUE,NUCOR CORPORATION,"1915 REXFORD RD, CHARLOTTE, NC, 28211 US",31400,Metals & Mining,1958,New York Stock Exchange,USD,168.60,170.24,-1.64,-0.96%,169.94,171.91,165.85,182.68,102.86,248722500,1443498.00,1175357,1.63,41934613500,7.85,Stock,9/6/23 23:30,1972-07-12,7607337000,4280852000,3591030000,4329744000,0.29
NUFORMIX PLC (XLON:NFX),NFX,NUFORMIX PLC,"6th Fl, 60 Gracechurch Street, LONDON, UNITED KINGDOM-NA, EC3V 0HR GB",2,Pharmaceuticals,2015,London Stock Exchange,GBp,0.28,0.28,0.00,0.00%,0.28,0.28,0.28,0.60,0.20,744309400,910312.00,1261140,0.60,2046850,NA,Stock,9/6/23 13:25,No data,NA,NA,NA,NA,No data
NVIDIA CORPORATION (XNAS:NVDA),NVDA,NVIDIA CORPORATION,"2788 San Tomas Expressway, SANTA CLARA, CA, 95051 US",26196,Semiconductors & Semiconductor Equipment,1998,Nasdaq Stock Market,USD,470.61,485.44,-14.83,-3.06%,484.41,485.49,465.80,502.66,108.13,2470000000,46866957.00,57931466,1.74,1199136000000,117.27,Stock,9/6/23 23:59,1999-01-22,4368000000,3389000000,3827000000,6563000000,2.32
"O-I GLASS, INC. (XNYS:OI)",OI,"O-I GLASS, INC.","One Michael Owens Way, PERRYSBURG, OH, 43551-2999 US",24000,Containers & Packaging,2019,New York Stock Exchange,USD,19.29,19.47,-0.18,-0.92%,19.56,19.89,19.27,23.57,12.05,155059900,752146.00,962525,1.38,2991105471,5.53,Stock,9/6/23 23:08,1991-12-11,584000000,773000000,760000000,2357000000,0.18
"O'Reilly Automotive, Inc. (XNAS:ORLY)",ORLY,"O'Reilly Automotive, Inc.","233 S Patterson Ave, SPRINGFIELD, MO, 65802 US",71612,Specialty Retailers,2010,Nasdaq Stock Market,USD,944.79,945.53,-0.74,-0.08%,944.88,953.61,938.67,975.72,680.00,60258340,356666.00,336320,0.85,56931477048,26.23,Stock,9/6/23 23:55,1993-04-23,2172650000,108583000,343155000,7063817000,0.12
OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY),OXY,OCCIDENTAL PETROLEUM CORPORATION,"5 GREENWAY PLAZA, SUITE 110, HOUSTON, TX, 77046 US",11973,Oil & Gas,1986,New York Stock Exchange,USD,65.57,66.18,-0.61,-0.92%,65.87,66.50,64.96,76.11,55.51,884681900,8177792.00,8778169,1.79,58008592182,11.19,Stock,9/6/23 23:59,1964-03-03,13304000000,984000000,4281000000,7757000000,0.05
OMNICOM GROUP INC. (XNYS:OMC),OMC,OMNICOM GROUP INC.,"280 Park Avenue, NEW YORK, NY, 10017 US",74200,Media & Publishing,1944,New York Stock Exchange,USD,80.17,79.67,0.50,0.63%,79.53,80.45,78.78,99.23,61.85,197571300,1022782.00,1375530,0.87,15839291121,11.73,Stock,9/6/23 23:00,1980-03-17,1316500000,4281800000,8626600000,15052800000,-0.02
"ONEOK, INC. (XNYS:OKE)",OKE,"ONEOK, INC.","100 W 5th St, TULSA, OK, 74103 US",2966,Oil & Gas Related Equipment and Services,1997,New York Stock Exchange,USD,63.65,65.66,-2.01,-3.06%,65.35,65.39,63.30,71.57,50.50,447674800,4068189.00,2281041,1.65,28494501020,12.10,Stock,9/6/23 23:42,1954-05-24,1722221000,220227000,1532292000,3051627000,0.00
ORACLE CORPORATION (XNYS:ORCL),ORCL,ORACLE CORPORATION,"2300 Oracle Way, AUSTIN, TX, 78741 US",164000,Software & IT Services,2005,New York Stock Exchange,USD,124.33,123.98,0.35,0.28%,123.06,124.58,122.73,127.54,60.78,2714259000,8728483.00,7480238,0.99,337463821470,40.40,Stock,9/6/23 23:59,1986-03-12,8503000000,9765000000,6915000000,23090000000,0.52
P10 Inc (XNYS:PX),PX,P10 Inc,"4514 Cole Avenue, Suite 1600, Suite 1600, DALLAS, TX, 75205 US",234,Investment Banking & Investment Services,2021,New York Stock Exchange,USD,11.67,11.46,0.21,1.83%,11.47,11.72,11.43,13.41,8.75,116205200,229632.00,234677,1.08,1356114684,111.03,Stock,9/6/23 23:00,2021-10-20,29206000,20021000,20782000,67358000,0.07
PACCAR INC (XNAS:PCAR),PCAR,PACCAR INC,"777 106th Avenue NE, BELLEVUE, WA, 98004 US",31100,"Machinery, Equipment & Components",1971,Nasdaq Stock Market,USD,82.75,81.66,1.09,1.33%,81.94,83.00,81.66,90.05,54.64,522805100,2669160.00,2005601,0.97,43262122025,17.23,Stock,9/6/23 23:28,1980-03-17,3011600000,4690900000,1919800000,9704600000,0.24
PANCONTINENTAL ENERGY NL (XASX:PCL),PCL,PANCONTINENTAL ENERGY NL,"Level 2, 30 Richardson St, PERTH, WESTERN AUSTRALIA, 6005 AU",3,Oil & Gas,1985,Australian Securities Exchange,AUD,0.02,0.02,0.00,0.00%,0.02,0.02,0.02,0.02,0.00,8060223000,2120120.00,11035500,-1.33,153144200,NA,Stock,9/7/23 2:15,No data,NA,NA,NA,NA,No data
PARKER-HANNIFIN CORPORATION (XNYS:PH),PH,PARKER-HANNIFIN CORPORATION,"6035 Parkland Boulevard, CLEVELAND, OH, 44124-4141 US",62730,"Machinery, Equipment & Components",1938,New York Stock Exchange,USD,411.86,411.67,0.19,0.05%,408.63,415.94,407.92,428.16,235.69,128431400,595355.00,664019,1.52,52895756404,25.69,Stock,9/6/23 23:00,1964-12-09,2082936000,475182000,2827297000,7735370000,0.41
PARKLAND CORPORATION. (XTSE:PKI),PKI,PARKLAND CORPORATION.,"1800, 240-4 Ave SW, CALGARY, AB, T2P 4H4 CA",6284,Oil & Gas,2022,Toronto Stock Exchange,CAD,38.06,36.72,1.34,3.65%,37.26,39.07,37.01,39.07,24.25,175840800,1102641.00,477980,1.42,6692500848,18.95,Stock,9/6/23 20:00,1965-07-06,569179000,454358000,612780000,1544483000,-0.07
"Patterson Companies, Inc. (XNAS:PDCO)",PDCO,"Patterson Companies, Inc.","1031 Mendota Heights Rd, SAINT PAUL, MN, 55120-1401 US",7600,Healthcare Equipment & Supplies,1992,Nasdaq Stock Market,USD,29.65,29.74,-0.09,-0.30%,29.64,30.02,29.51,34.53,23.87,95850000,758100.00,947703,1.30,2841952500,13.53,Stock,9/6/23 20:18,1992-09-01,207557000,47777000,477384000,1085332000,0.06
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,"PAYCHEX, INC.","911 Panorama Trail S, ROCHESTER, NY, 14625-0397 US",16600,Professional & Commercial Services,1979,Nasdaq Stock Market,USD,120.37,121.37,-1.00,-0.82%,120.54,121.08,119.90,129.70,104.09,361004900,1149364.00,1395579,0.98,43454159813,28.24,Stock,9/6/23 20:18,1983-08-26,1557300000,1222000000,1401800000,5805400000,0.05
PEABODY ENERGY CORPORATION (XNYS:BTU),BTU,PEABODY ENERGY CORPORATION,"701 MARKET ST, ST. LOUIS, MO, 63101-1826 US",5500,Coal,1998,New York Stock Exchange,USD,21.90,22.38,-0.48,-2.14%,22.45,22.75,21.69,32.89,17.71,132800000,2696179.00,3084560,1.09,2908320000,2.73,Stock,9/6/23 23:00,2017-04-03,1297100000,1307300000,465500000,918700000,-0.15
"PEPSICO, INC. (XNAS:PEP)",PEP,"PEPSICO, INC.","700 ANDERSON HILL RD, PURCHASE, NY, 10577 US",315000,Beverages,1986,Nasdaq Stock Market,USD,174.73,174.16,0.57,0.33%,174.92,174.99,173.48,196.88,160.98,1376581000,5933800.00,4091249,0.55,240529998130,30.16,Stock,9/6/23 23:51,1919-12-18,8910000000,4954000000,8042000000,26785000000,-0.04
PERRIGO COMPANY PUBLIC LIMITED COMPANY (XNYS:PRGO),PRGO,PERRIGO COMPANY PUBLIC LIMITED COMPANY,"The Sharp Building, Hogan Place, Dublin 2, DUBLIN, DUBLIN IE",8900,Pharmaceuticals,2013,New York Stock Exchange,USD,34.37,35.23,-0.86,-2.44%,35.19,35.19,34.33,41.44,30.78,135396700,1602036.00,1548250,0.82,4770028000,0.00,Stock,9/6/23 23:30,1991-12-17,-140600000,600700000,738600000,1113600000,0.03
PFIZER INC. (XNYS:PFE),PFE,PFIZER INC.,"66 HUDSON BOULEVARD EAST, NEW YORK, NY, 10001-2192 US",83000,Pharmaceuticals,1942,New York Stock Exchange,USD,34.37,35.38,-1.01,-2.85%,35.26,35.28,34.26,54.93,34.26,5645959000,35370154.00,23221100,0.58,194051610830,9.43,Stock,9/6/23 23:59,1944-01-17,31372000000,416000000,10952000000,42138000000,-0.31
PG&E CORPORATION (XNYS:PCG),PCG,PG&E CORPORATION,"300 Lakeside Drive, OAKLAND, CA, 94612 US",10,Electrical Utilities & IPPs,1995,New York Stock Exchange,USD,16.45,16.26,0.19,1.17%,16.31,16.46,16.26,18.19,11.97,2568985000,13184530.00,13830445,1.13,42259803250,17.84,Stock,9/6/23 23:19,1919-07-24,1814000000,734000000,2645000000,15788000000,0.00
Philip Morris International Inc. (XNYS:PM),PM,Philip Morris International Inc.,"677 Washington Blvd, Ste. 1100, STAMFORD, CT, 06901 US",79800,Food & Tobacco,2007,New York Stock Exchange,USD,93.55,94.51,-0.96,-1.02%,94.15,94.17,93.06,105.62,82.85,1552345000,4690749.00,2741544,0.74,145221874750,18.28,Stock,9/6/23 23:00,2008-03-17,9048000000,3207000000,3850000000,27336000000,-0.07
PHILLIPS 66 (XNYS:PSX),PSX,PHILLIPS 66,"2331 Citywest Blvd., HOUSTON, TX, 77042 US",13000,Oil & Gas,2011,New York Stock Exchange,USD,116.64,116.74,-0.10,-0.09%,116.87,117.99,115.61,118.77,74.02,445287900,1764173.00,3003158,1.37,51938380656,5.07,Stock,9/6/23 23:54,2012-04-12,11024000000,6133000000,10985000000,15889000000,0.12
PIEDMONT LITHIUM INC. (XNAS:PLL),PLL,PIEDMONT LITHIUM INC.,"42 E Catawba Street, Suite 100, BELMONT, NC, 28012 US",40,Metals & Mining,2020,Nasdaq Stock Market,USD,44.89,46.09,-1.20,-2.60%,46.11,46.16,44.48,76.78,41.02,19195890,211450.00,342150,1.08,861703502,NA,Stock,9/6/23 23:51,1983-03-28,-12974670,99246960,27410,13411170,0.05
PINNACLE WEST CAPITAL CORPORATION (XNYS:PNW),PNW,PINNACLE WEST CAPITAL CORPORATION,"400 NORTH FIFTH STREET, MS 8695, PHOENIX, AZ, 85004 US",82,Electrical Utilities & IPPs,1985,New York Stock Exchange,USD,75.44,74.08,1.36,1.84%,74.10,75.50,73.72,86.03,59.03,113312200,882797.00,880164,0.48,8548272368,22.77,Stock,9/6/23 23:42,1961-08-28,483602000,4832000,429431000,1762141000,-0.03
PIONEER NATURAL RESOURCES COMPANY (XNYS:PXD),PXD,PIONEER NATURAL RESOURCES COMPANY,"777 Hidden Ridge, IRVING, TX, 75038 US",2076,Oil & Gas,1997,New York Stock Exchange,USD,241.37,243.03,-1.66,-0.68%,242.10,245.23,240.11,274.70,177.27,233141100,1222930.00,1712999,1.45,56273267307,10.38,Stock,9/6/23 23:58,1993-01-13,7845000000,1032000000,1853000000,3887000000,0.06
PITNEY BOWES INC. (XNYS:PBI),PBI,PITNEY BOWES INC.,"1 ELMCROFT ROAD, PITNEY BOWES INC, STAMFORD, CT, 06926-0700 US",11000,Office Equipment,1920,New York Stock Exchange,USD,2.98,3.00,-0.02,-0.67%,3.02,3.14,2.97,4.85,2.30,176026200,2972215.00,1108662,2.23,524558076,75.41,Stock,9/6/23 23:59,1950-09-18,36940000,669981000,343557000,1727803000,-0.21
"PPG INDUSTRIES, INC. (XNYS:PPG)",PPG,"PPG INDUSTRIES, INC.","One Ppg Pl 40 East, PITTSBURGH, PA, 15272 US",52000,Chemicals,1883,New York Stock Exchange,USD,137.05,136.47,0.58,0.43%,136.94,137.99,136.19,152.89,107.40,235513000,2163515.00,1424666,1.19,32277056650,24.48,Stock,9/6/23 23:00,1945-12-17,1026000000,1099000000,3303000000,4721000000,0.09
PPL CORPORATION (XNYS:PPL),PPL,PPL CORPORATION,"Two N Ninth St, ALLENTOWN, PA, 18101-1179 US",6527,Multiline Utilities,1994,New York Stock Exchange,USD,24.40,24.29,0.11,0.45%,24.41,24.51,24.20,31.74,23.47,737088600,5339899.00,4680066,0.81,17984961840,24.92,Stock,9/6/23 23:37,1948-09-17,756000000,356000000,896000000,3789000000,-0.17
"PRINCIPAL FINANCIAL GROUP, INC. (XNAS:PFG)",PFG,"PRINCIPAL FINANCIAL GROUP, INC.","711 High Street, DES MOINES, IA, 50392 US",19300,Investment Banking & Investment Services,2001,Nasdaq Stock Market,USD,76.19,76.42,-0.23,-0.30%,76.00,76.69,75.58,96.17,65.17,241714900,772046.00,844070,1.31,18628970000,11.81,Stock,9/6/23 20:52,2001-10-26,4811600000,4848000000,NA,99900000,-0.08
"PROLOGIS, INC. (XNYS:PLD)",PLD,"PROLOGIS, INC.","PIER 1 BAY 1, SAN FRANCISCO, CA, 94111 US",2466,Residential & Commercial REIT,1997,New York Stock Exchange,USD,121.38,122.05,-0.67,-0.55%,121.96,122.43,119.61,136.67,98.03,923862000,2786423.00,1951745,0.99,112757400000,32.12,Stock,9/6/23 23:00,1997-11-21,3364856000,278483000,377996000,2818205000,0.08
"PRUDENTIAL FINANCIAL, INC. (XNYS:PRU)",PRU,"PRUDENTIAL FINANCIAL, INC.","751 BROAD ST, NEWARK, NJ, 07102 US",39854,Insurance,1999,New York Stock Exchange,USD,94.32,94.45,-0.13,-0.14%,94.22,94.77,93.68,110.96,75.37,363000000,1195938.00,1517391,1.41,34238159999,31.57,Stock,9/6/23 23:51,2001-12-13,-1438000000,17251000000,NA,1746000000,-0.05
